Year,Adjusted_Total,Runtime(Mins),Censor,Total_Gross,main_genre,side_genre,dir_numeric,Rating,discrete
2019,139.07673973862808,128,1,355.56,3,2.1,91.25399999999999,6.9,1
2004,138.4134827494926,115,1,261.44,0,3.6,239.20400000000004,8.0,1
2009,138.2605331481283,130,4,296.62,3,5.8,157.115,4.7,0
1987,137.86578657865786,119,16,156.65,5,8.5,63.60142857142858,6.9,1
2010,137.82271027330196,124,4,300.53,6,5.2,113.70333333333332,5.0,0
2016,137.64369133081402,152,4,330.36,6,3.8,146.73777777777778,6.4,0
1990,136.5469736590344,119,16,178.41,2,5.5,74.53916666666667,7.1,1
2017,136.3416155719912,133,1,334.2,6,3.8,382.40250000000003,7.4,1
1967,135.79815138646012,150,1,45.3,6,3.9,24.674999999999997,7.7,1
2010,135.73608553785618,146,4,295.98,3,7.1,279.51800000000003,7.7,1
2000,135.67363530778167,143,4,233.63,3,5.7,129.74625,7.8,1
2016,135.45212511093246,123,4,325.1,6,3.7,82.03166666666667,5.9,0
1987,135.24312431243123,100,16,153.67,6,10.3,67.63933333333333,6.5,0
1982,134.50777202072538,124,16,129.8,5,5.5,49.31285714285715,7.0,1
2002,134.22654621264766,95,1,241.44,2,5.7,241.44,6.6,1
2010,134.17684947180877,148,4,292.58,6,3.8,187.57454545454547,8.8,1
2018,133.43324653981935,143,4,335.06,6,3.7,127.54222222222221,6.8,1
1998,132.83983436429628,169,16,216.54,5,1.5,138.73962962962963,8.6,1
2012,132.56448795282395,143,4,304.36,6,8.54,124.15375,7.8,1
1988,132.2951166232119,104,1,156.45,0,2.2,129.74625,7.7,1
2004,132.01800052942733,142,1,249.36,3,7.1,101.495,7.9,1
2003,132.00271800679502,101,4,242.83,2,7.0,127.26000000000002,6.8,1
2019,131.21074458691302,122,16,335.45,10,8.52,137.317,8.4,1
1981,131.19604069287877,109,4,119.29,5,5.0,119.29,7.6,1
1982,129.58549222797927,99,1,125.05,5,2.5,93.80199999999999,6.8,1
2009,129.2644159282548,100,4,277.32,2,2.9,137.317,7.7,1
2018,129.26370648349535,119,18,324.59,6,2.2,183.41333333333333,7.7,1
1967,129.14314264301768,117,16,43.08,6,8.54,53.39666666666667,6.8,1
2017,128.53318193330807,130,4,315.06,6,2.2,80.2175,7.9,1
1968,128.02108289410637,105,0,44.53,2,2.9,44.53,7.6,1
2001,127.72590361445786,90,4,226.16,6,10.3,113.08800000000001,6.6,1
2012,127.31173553886987,115,4,292.3,3,5.8,102.07857142857142,5.5,0
1993,127.28929910585522,130,1,183.88,6,10.4,67.1,7.8,1
2002,126.7380125086866,106,4,227.97,5,9.5,126.71875,6.8,1
1986,126.3863757317722,120,4,138.53,5,1.5,50.368,8.1,1
1995,125.86678333151045,81,1,191.8,0,2.2,191.8,8.3,1
1980,125.33926585094552,109,0,103.29,2,2.9,103.29,6.9,1
2000,125.09291521486645,123,4,215.41,6,8.54,75.19000000000001,6.1,0
2011,125.05158802194669,117,16,281.29,3,5.8,102.07857142857142,4.9,0
2013,124.9371754811777,143,4,291.05,6,3.8,146.73777777777778,7.1,1
2006,124.43966764499193,108,5,250.86,3,2.1,104.32916666666667,6.4,0
1976,124.05915946697903,138,1,70.6,5,1.57,58.00333333333333,7.9,1
2019,123.92756061252541,123,4,316.83,6,2.2,153.25499999999997,6.7,1
1992,123.71303005107492,120,1,173.59,3,10.3,119.69,6.8,1
1999,123.69203061683925,95,4,206.04,6,2.2,121.71333333333334,6.6,1
1998,123.65625479269976,151,4,201.57,6,3.8,178.96230769230772,6.7,1
2007,123.65535432732244,101,16,256.39,6,5.4,211.64000000000001,7.2,1
1980,122.92446152290427,111,1,101.3,2,10.0,101.3,6.7,1
1981,122.3975804234259,94,0,111.29,2,2.9,34.44,6.2,0
1969,122.09904588823261,113,16,44.79,5,5.0,33.25,7.8,1
1968,121.60996645903208,114,16,42.3,6,10.8,29.409999999999997,7.4,1
1991,121.51991678394421,143,1,165.5,6,5.2,71.916,6.9,1
1995,120.76780050311713,121,4,184.03,6,3.0,54.09571428571428,5.4,0
2009,120.13312389005159,127,4,257.73,6,3.8,366.5666666666666,7.9,1
1973,119.97747747747746,151,18,53.27,1,10.4,44.656666666666666,8.0,1
2005,119.9641561766588,116,4,234.28,6,3.8,138.73962962962963,6.5,0
2009,119.3080913781772,129,4,255.96,1,5.3,106.9125,7.6,1
1985,118.87511620700344,91,1,127.87,5,2.5,93.80199999999999,6.8,1
2015,118.8606724412173,137,4,281.72,6,3.8,211.64000000000001,6.5,0
1989,118.78193062651252,114,16,147.25,6,10.8,73.61999999999999,7.2,1
2002,118.58790826963168,94,4,213.31,6,2.2,121.71333333333334,6.2,0
2013,117.65686455123172,91,4,274.09,5,8.51,101.495,7.7,1
2003,116.84711211778027,134,4,214.95,6,3.8,135.857,7.4,1
2006,116.25480550617996,104,16,234.36,6,3.8,113.08800000000001,6.6,1
1974,116.20753760351528,202,16,57.3,10,5.0,54.845454545454544,9.0,1
1992,116.04466088609098,126,4,162.83,6,7.5,105.07529411764706,7.1,1
1996,115.38412496015302,110,1,180.98,6,8.54,42.085384615384605,7.1,1
2013,115.25298830077789,104,1,268.49,0,2.2,165.025,7.2,1
1979,115.01205649328281,147,18,83.47,5,9.6,54.845454545454544,8.5,1
1972,114.16500597847747,108,4,47.74,3,5.6,91.18285714285712,7.5,1
2012,114.12758831081105,136,4,262.03,6,3.8,130.51749999999998,6.9,1
2001,114.09262048192774,130,16,202.02,6,3.7,128.184,6.4,0
1995,114.08071748878923,140,1,173.84,3,2.53,95.35095238095236,7.7,1
1969,113.75738300772373,95,16,41.73,3,5.0,44.175,7.3,1
1979,113.34481570788839,143,1,82.26,3,9.5,82.96333333333332,6.4,0
2011,113.12391868912705,102,16,254.46,2,2.9,137.317,6.4,0
1997,113.01630152632127,86,4,181.41,2,7.0,127.26000000000002,6.9,1
1989,113.0061844581877,93,1,140.09,2,2.9,56.05333333333334,5.9,0
2001,112.1272590361446,183,4,198.54,6,2.53,178.96230769230772,6.2,0
1968,111.83517010062289,138,1,38.9,5,5.5,38.9,7.6,1
2005,111.66887134627692,187,4,218.08,6,5.2,164.73624999999998,7.2,1
2007,109.70741233603509,115,4,227.47,6,9.7,123.30999999999999,8.0,1
1993,109.61638304009232,154,4,158.35,5,9.7,91.18285714285712,6.8,1
2010,109.31620619521176,95,1,238.37,0,2.2,121.356,6.3,0
1987,109.06050605060507,121,4,123.92,1,2.7,55.821538461538466,7.3,1
2000,109.00696864111501,155,4,187.71,6,5.2,77.35947368421053,8.5,1
1983,108.85542168674698,132,16,108.42,2,5.0,76.08,7.4,1
1988,108.36445634557114,117,4,128.15,2,5.5,48.604000000000006,7.1,1
1971,108.21979831240995,120,1,43.82,6,8.54,37.8125,6.5,0
1960,108.19949281487742,109,16,32.0,8,9.7,16.8,8.5,1
2006,107.91120664710014,149,19,217.54,9,8.5,95.35095238095236,6.6,1
1997,107.7520506697124,124,4,172.96,6,8.52,83.96444444444444,6.5,0
2011,107.16675249234054,137,4,241.06,6,3.7,132.20000000000002,6.6,1
2005,107.13206742052483,119,4,209.22,2,5.5,85.214,7.0,1
2000,106.16144018583044,127,4,182.81,2,7.3,104.26166666666666,6.4,0
