Year,Rating,Runtime(Mins),Censor,Total_Gross,main_genre,side_genre,dir_numeric,Adjusted_Total,discrete
2013,7.1,143,4,291.05,6,3.8,146.73777777777778,124.9371754811777,0
2006,6.4,108,5,250.86,3,2.1,104.32916666666667,124.43966764499193,0
1976,7.9,138,1,70.6,5,1.57,58.00333333333333,124.05915946697903,0
2019,6.7,123,4,316.83,6,2.2,153.25499999999997,123.92756061252541,0
1992,6.8,120,1,173.59,3,10.3,119.69,123.71303005107492,0
1999,6.6,95,4,206.04,6,2.2,121.71333333333334,123.69203061683925,0
1998,6.7,151,4,201.57,6,3.8,178.96230769230772,123.65625479269976,0
2007,7.2,101,16,256.39,6,5.4,211.64000000000001,123.65535432732244,0
1980,6.7,111,1,101.3,2,10.0,101.3,122.92446152290427,0
1981,6.2,94,0,111.29,2,2.9,34.44,122.3975804234259,0
1969,7.8,113,16,44.79,5,5.0,33.25,122.09904588823261,0
1968,7.4,114,16,42.3,6,10.8,29.409999999999997,121.60996645903208,0
1991,6.9,143,1,165.5,6,5.2,71.916,121.51991678394421,0
1995,5.4,121,4,184.03,6,3.0,54.09571428571428,120.76780050311713,0
2009,7.9,127,4,257.73,6,3.8,366.5666666666666,120.13312389005159,0
1973,8.0,151,18,53.27,1,10.4,44.656666666666666,119.97747747747746,0
2005,6.5,116,4,234.28,6,3.8,138.73962962962963,119.9641561766588,0
2009,7.6,129,4,255.96,1,5.3,106.9125,119.3080913781772,0
1985,6.8,91,1,127.87,5,2.5,93.80199999999999,118.87511620700344,0
2015,6.5,137,4,281.72,6,3.8,211.64000000000001,118.8606724412173,0
1989,7.2,114,16,147.25,6,10.8,73.61999999999999,118.78193062651252,0
2002,6.2,94,4,213.31,6,2.2,121.71333333333334,118.58790826963168,0
2013,7.7,91,4,274.09,5,8.51,101.495,117.65686455123172,0
2003,7.4,134,4,214.95,6,3.8,135.857,116.84711211778027,0
2006,6.6,104,16,234.36,6,3.8,113.08800000000001,116.25480550617996,0
1974,9.0,202,16,57.3,10,5.0,54.845454545454544,116.20753760351528,0
1992,7.1,126,4,162.83,6,7.5,105.07529411764706,116.04466088609098,0
1996,7.1,110,1,180.98,6,8.54,42.085384615384605,115.38412496015302,0
2013,7.2,104,1,268.49,0,2.2,165.025,115.25298830077789,0
1979,8.5,147,18,83.47,5,9.6,54.845454545454544,115.01205649328281,0
1972,7.5,108,4,47.74,3,5.6,91.18285714285712,114.16500597847747,0
2012,6.9,136,4,262.03,6,3.8,130.51749999999998,114.12758831081105,0
2001,6.4,130,16,202.02,6,3.7,128.184,114.09262048192774,0
1995,7.7,140,1,173.84,3,2.53,95.35095238095236,114.08071748878923,0
1969,7.3,95,16,41.73,3,5.0,44.175,113.75738300772373,0
1979,6.4,143,1,82.26,3,9.5,82.96333333333332,113.34481570788839,0
2011,6.4,102,16,254.46,2,2.9,137.317,113.12391868912705,0
1997,6.9,86,4,181.41,2,7.0,127.26000000000002,113.01630152632127,0
1989,5.9,93,1,140.09,2,2.9,56.05333333333334,113.0061844581877,0
2001,6.2,183,4,198.54,6,2.53,178.96230769230772,112.1272590361446,0
1968,7.6,138,1,38.9,5,5.5,38.9,111.83517010062289,0
2005,7.2,187,4,218.08,6,5.2,164.73624999999998,111.66887134627692,0
2007,8.0,115,4,227.47,6,9.7,123.30999999999999,109.70741233603509,0
1993,6.8,154,4,158.35,5,9.7,91.18285714285712,109.61638304009232,0
2010,6.3,95,1,238.37,0,2.2,121.356,109.31620619521176,0
1987,7.3,121,4,123.92,1,2.7,55.821538461538466,109.06050605060507,0
2000,8.5,155,4,187.71,6,5.2,77.35947368421053,109.00696864111501,0
1983,7.4,132,16,108.42,2,5.0,76.08,108.85542168674698,0
1988,7.1,117,4,128.15,2,5.5,48.604000000000006,108.36445634557114,0
1971,6.5,120,1,43.82,6,8.54,37.8125,108.21979831240995,0
1960,8.5,109,16,32.0,8,9.7,16.8,108.19949281487742,0
2006,6.6,149,19,217.54,9,8.5,95.35095238095236,107.91120664710014,0
1997,6.5,124,4,172.96,6,8.52,83.96444444444444,107.7520506697124,0
2011,6.6,137,4,241.06,6,3.7,132.20000000000002,107.16675249234054,0
2005,7.0,119,4,209.22,2,5.5,85.214,107.13206742052483,0
2000,6.4,127,4,182.81,2,7.3,104.26166666666666,106.16144018583044,0
2007,6.5,124,1,219.96,6,3.4,102.13899999999998,106.08538452294492,0
2000,6.4,130,4,182.62,6,5.2,83.96444444444444,106.05110336817656,0
2005,8.2,140,4,206.85,6,10.4,187.57454545454547,105.9184979731171,0
2008,6.4,92,4,227.95,6,5.8,71.42299999999999,105.87429314569034,0
2002,6.1,88,4,190.42,6,2.2,130.02125,105.86240444753301,0
2005,6.7,115,1,206.46,3,2.1,105.07529411764706,105.71879667164494,0
1979,7.6,95,1,76.66,3,2.1,76.66,105.62866000688942,0
1989,6.4,93,1,130.72,3,2.1,99.68375,105.44770099489111,0
1986,6.1,113,1,115.1,6,0.52,80.614,105.01026381814033,0
1981,6.9,97,1,95.46,2,5.5,95.46,104.98762716524608,0
2007,5.2,92,1,217.33,3,2.7,162.71,104.81695134738871,0
2006,7.6,117,16,210.61,6,5.0,146.73777777777778,104.47356454879912,0
2008,8.4,98,1,223.81,0,3.1,148.445,103.9514171920902,0
2014,5.6,165,4,245.44,6,3.8,178.96230769230772,103.67659637979551,0
2001,7.7,116,4,183.42,10,8.5,59.36888888888888,103.58810240963857,0
1990,6.7,93,1,135.27,6,2.2,78.27000000000001,103.52956183430067,0
1992,6.7,118,4,144.73,6,10.8,73.61999999999999,103.14526665874804,0
2013,7.0,130,4,238.68,6,10.8,166.35666666666668,102.4566399032726,0
2009,4.5,88,1,219.61,0,2.2,86.11833333333334,102.36462708064344,0
2001,5.9,92,4,181.17,6,3.8,99.68375,102.31739457831326,0
1972,7.8,124,16,42.77,5,0.5,40.295,102.27979274611398,0
2001,5.7,119,4,180.01,6,3.8,105.07529411764706,101.66227409638554,0
1979,7.1,94,0,73.69,2,2.9,41.894999999999996,101.53634171546675,0
1960,7.9,197,16,30.0,3,1.2,27.401428571428575,101.43702451394758,0
1992,7.7,138,1,141.34,5,8.5,61.743333333333325,100.72930276754957,0
1986,7.3,119,1,109.71,6,2.2,117.98666666666668,100.09275450467572,0
1992,6.5,100,1,139.61,2,0.5,70.61333333333334,99.49637724195271,0
2006,6.1,154,1,200.08,6,3.8,135.857,99.2501343474846,0
1998,6.1,90,1,161.49,2,2.5,82.15,99.06855477736312,0
2004,6.4,124,1,186.74,6,3.8,112.40500000000002,98.86526074296302,0
2014,7.9,132,4,233.92,6,3.8,135.857,98.81041975701501,0
1994,7.3,141,16,146.28,6,2.56,278.42571428571426,98.6878057007927,0
2013,7.7,132,4,228.78,6,3.8,366.5666666666666,98.2069301033631,0
1996,7.3,139,1,153.95,2,5.7,56.22375,98.15109977685688,0
1999,6.4,93,1,163.48,2,5.0,84.20769230769231,98.14197808794836,0
1994,6.5,97,1,144.83,2,5.1,96.655,97.70956316410862,0
2009,7.6,128,14,209.03,6,3.4,91.25399999999999,97.43307681192522,0
1988,7.3,104,1,114.97,2,5.8,76.1925,97.21936438587838,0
2004,6.6,100,1,183.37,0,2.2,129.74625,97.08109062031235,0
1970,7.1,78,1,37.68,0,2.2,89.76,97.05086928525436,0
2016,7.5,115,4,232.64,6,3.7,93.14999999999999,96.92889075917354,0
2006,6.8,91,1,195.33,0,2.2,138.725,96.89388615600842,0
1979,6.2,126,16,70.31,6,3.8,53.39666666666667,96.87909059593524,0
1961,7.5,158,1,28.9,6,5.2,15.85,96.6824644549763,0
2000,7.0,108,4,166.24,2,5.5,121.71333333333334,96.53890824622535,0
2001,8.2,135,4,170.74,1,5.0,95.35095238095236,96.42695783132532,0
2015,8.0,144,4,228.43,3,5.4,77.35947368421053,96.37705312277177,0
1991,8.6,118,16,130.74,10,8.52,71.705,95.99706296273635,0
1989,7.8,108,1,118.5,3,2.8,129.74625,95.5902124226943,0
2005,6.5,120,14,186.34,6,10.3,58.569,95.4162577341583,0
2012,6.9,106,16,218.82,2,2.9,114.48,95.30740325219126,0
1983,6.2,95,4,94.9,5,0.52,63.60142857142858,95.28112449799197,0
2002,7.2,113,16,170.69,2,10.1,132.20000000000002,94.89367616400278,0
1988,6.1,107,1,111.94,2,10.0,81.21249999999999,94.65717708406737,0
2003,7.0,97,1,173.4,3,2.1,234.0025,94.26047565118913,0
1981,6.8,106,16,85.3,2,1.5,81.21249999999999,93.81358262304097,0
2017,6.1,120,4,229.02,6,3.7,146.73777777777778,93.43194733182953,0
1990,7.5,135,1,122.01,6,8.54,72.94714285714285,93.38095541807515,0
2004,7.7,108,16,176.24,6,9.7,123.30999999999999,93.30627371393275,0
2011,7.3,130,4,209.84,6,10.8,166.35666666666668,93.287444383111,0
2001,6.8,131,18,165.09,10,8.52,77.35947368421053,93.23606927710846,0
1999,7.1,124,16,155.25,6,3.7,128.184,93.20126069338134,0
2011,7.4,132,4,209.4,6,8.5,239.20400000000004,93.09183594082845,0
1975,8.0,125,1,50.0,1,10.4,23.686666666666667,92.90802105915144,0
1997,7.7,139,16,148.48,2,5.7,76.08,92.50129789222304,0
1988,5.7,108,1,109.31,6,2.2,109.31,92.43323233035024,0
2017,8.1,137,16,226.28,6,5.4,89.905,92.31412558836078,0
2017,6.6,136,4,226.01,6,10.8,88.98444444444445,92.20397527057371,0
2005,6.6,118,1,179.5,2,5.5,82.61,91.91380413910815,0
2004,6.9,131,1,173.01,6,3.4,102.13899999999998,91.59622341833582,0
1985,7.7,154,1,98.47,5,5.0,138.73962962962963,91.54322900526807,0
